,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
1,0.7,0.64,0.6116666666666666,0.7692307692307693,0.625,1.0,sentence_img,7,3
2,0.7,0.6799999999999999,0.696190476190476,0.7692307692307693,0.625,1.0,sentence_img,14,3
3,0.8,0.9600000000000001,0.9666666666666666,0.8333333333333334,0.7142857142857143,1.0,sentence_img,21,3
4,0.8,0.92,0.9266666666666665,0.8333333333333334,0.7142857142857143,1.0,sentence_img,28,3
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,3
1,0.4,0.39999999999999997,0.48666666666666664,0.5,0.42857142857142855,0.6,sentence_text,7,3
2,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,14,3
3,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,21,3
4,1.0,1.0,1.0,1.0,1.0,1.0,sentence_text,28,3
0,0.5,0.52,0.5833333333333334,0.5454545454545454,0.5,0.6,token_all,0,3
1,0.5,0.52,0.5833333333333334,0.5454545454545454,0.5,0.6,token_all,7,3
2,0.5,0.52,0.5833333333333334,0.5454545454545454,0.5,0.6,token_all,14,3
3,0.5,0.52,0.5833333333333334,0.5454545454545454,0.5,0.6,token_all,21,3
4,0.5,0.52,0.5833333333333334,0.5454545454545454,0.5,0.6,token_all,28,3
0,0.5,0.52,0.5833333333333334,0.5454545454545454,0.5,0.6,token_img,0,3
1,0.5,0.52,0.5833333333333334,0.5454545454545454,0.5,0.6,token_img,7,3
2,0.5,0.52,0.5833333333333334,0.5454545454545454,0.5,0.6,token_img,14,3
3,0.5,0.52,0.5833333333333334,0.5454545454545454,0.5,0.6,token_img,21,3
4,0.5,0.52,0.5833333333333334,0.5454545454545454,0.5,0.6,token_img,28,3
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,3
1,0.5,0.5,0.5,0.0,0.0,0.0,token_text,7,3
2,0.5,1.0,1.0,0.0,0.0,0.0,token_text,14,3
3,0.7,0.92,0.9266666666666665,0.6666666666666666,0.75,0.6,token_text,21,3
4,0.8,0.8800000000000001,0.8766666666666667,0.8,0.8,0.8,token_text,28,3
0,0.4,0.52,0.6476190476190475,0.4,0.4,0.4,sentence_all,0,4
1,0.5,0.4800000000000001,0.5476190476190476,0.4444444444444444,0.5,0.4,sentence_all,7,4
2,0.6,0.44000000000000006,0.5142857142857142,0.6666666666666666,0.5714285714285714,0.8,sentence_all,14,4
3,0.5,0.64,0.7533333333333332,0.4444444444444444,0.5,0.4,sentence_all,21,4
4,0.5,0.64,0.7533333333333332,0.4444444444444444,0.5,0.4,sentence_all,28,4
0,0.4,0.56,0.7142857142857142,0.4,0.4,0.4,sentence_img,0,4
1,0.5,0.4800000000000001,0.5476190476190476,0.4444444444444444,0.5,0.4,sentence_img,7,4
2,0.6,0.44000000000000006,0.5142857142857142,0.6666666666666666,0.5714285714285714,0.8,sentence_img,14,4
3,0.5,0.64,0.7533333333333332,0.4444444444444444,0.5,0.4,sentence_img,21,4
4,0.5,0.64,0.7533333333333332,0.4444444444444444,0.5,0.4,sentence_img,28,4
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,4
1,0.5,0.48,0.5253968253968254,0.4444444444444444,0.5,0.4,sentence_text,7,4
2,0.9,1.0,1.0,0.8888888888888888,1.0,0.8,sentence_text,14,4
3,0.8,1.0,1.0,0.75,1.0,0.6,sentence_text,21,4
4,0.8,1.0,1.0,0.75,1.0,0.6,sentence_text,28,4
0,0.5,0.48,0.5444444444444444,0.6153846153846154,0.5,0.8,token_all,0,4
1,0.5,0.48,0.5444444444444444,0.6153846153846154,0.5,0.8,token_all,7,4
2,0.5,0.52,0.5587301587301587,0.6153846153846154,0.5,0.8,token_all,14,4
3,0.5,0.52,0.5587301587301587,0.6153846153846154,0.5,0.8,token_all,21,4
4,0.5,0.4,0.5,0.6153846153846154,0.5,0.8,token_all,28,4
0,0.5,0.48,0.5444444444444444,0.6153846153846154,0.5,0.8,token_img,0,4
1,0.5,0.48,0.5444444444444444,0.6153846153846154,0.5,0.8,token_img,7,4
2,0.5,0.52,0.5587301587301587,0.6153846153846154,0.5,0.8,token_img,14,4
3,0.5,0.4800000000000001,0.5476190476190476,0.6153846153846154,0.5,0.8,token_img,21,4
4,0.5,0.44000000000000006,0.5333333333333333,0.6153846153846154,0.5,0.8,token_img,28,4
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,4
1,0.5,0.5,0.5,0.0,0.0,0.0,token_text,7,4
2,0.5,0.64,0.6926190476190477,0.0,0.0,0.0,token_text,14,4
3,0.8,0.92,0.9428571428571428,0.75,1.0,0.6,token_text,21,4
4,0.4,0.44000000000000006,0.6746031746031746,0.4,0.4,0.4,token_text,28,4
