,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over
7,28.451775,34.363426,34.441124,34.720787,35.46084,35.02705,34.708027,34.58115,33.09196,32.730503,31.164066,30.174875,29.879873,29.606031,28.847288,28.171833,27.672848,27.561218,27.840967,27.294333,26.774452,27.668621,27.894478,29.518385,30.813364,32.048084,32.350754,31.425486,29.498652,Text tokens
8,28.581205,35.8456,35.53886,36.07471,36.7174,36.16675,36.035805,36.23054,34.057373,33.33121,32.110382,30.6294,30.22638,29.629921,28.965302,28.484688,27.7785,27.331196,27.571114,26.860346,26.460526,27.527348,27.859026,29.593307,30.881134,31.853926,32.209316,31.260263,28.88974,Text tokens
9,27.561954,33.411366,33.35164,33.419323,34.06506,33.635998,33.22769,33.336548,32.17349,31.70961,30.427944,29.438946,29.221329,28.97705,28.27302,27.54951,27.077179,26.833143,26.953835,26.318233,25.864006,26.67257,26.890059,28.420284,29.576794,30.757553,30.947508,30.153345,28.381119,Text tokens
0,27.789331,34.42326,32.779213,33.85947,35.34731,35.032703,34.98579,35.66893,33.787144,33.41992,32.24487,30.922733,30.492865,30.166796,29.645098,29.17129,28.62063,28.422195,28.562027,27.806206,27.249039,27.894564,27.962963,29.35577,30.303968,31.18566,32.036713,31.452822,29.827911,Text only tokens
1,28.369184,32.86537,31.602133,32.418755,33.972294,33.922737,33.679386,34.24193,33.09093,32.773754,31.208405,30.262136,30.237284,30.308899,29.59771,28.98672,28.546404,28.576456,28.601688,27.77076,27.180393,27.68935,27.76061,29.414038,30.62854,31.90876,32.204422,31.6473,30.569715,Text only tokens
2,27.535357,32.19776,30.842756,31.569466,33.094234,33.093906,32.85037,33.52062,32.313507,32.16322,30.961943,30.1298,29.989553,29.887985,29.215025,28.671753,28.180393,28.155355,28.13226,27.253685,26.644907,27.097015,27.099398,28.650509,29.674364,31.09061,31.67627,31.060738,30.161324,Text only tokens
3,27.521152,32.247505,30.942535,31.625544,33.218117,33.13447,32.860466,33.436012,32.28936,32.123974,30.909443,29.911156,29.72685,29.684746,28.93231,28.299566,27.722057,27.75437,27.74315,26.970053,26.328833,26.818182,26.977816,28.594646,29.678751,31.033985,31.44692,30.850145,29.808184,Text only tokens
4,27.5021,32.060974,30.805489,31.463667,33.07402,33.08746,32.809338,33.421364,32.267,32.1125,30.785078,29.881092,29.814192,29.744774,28.979746,28.437607,27.984945,27.9941,28.005722,27.309895,26.716616,27.269255,27.425974,28.961386,30.13733,31.383818,31.774488,31.408802,30.509668,Text only tokens
5,27.576408,32.33158,31.073698,31.785406,33.33019,33.209057,33.126217,33.75997,32.62842,32.342163,31.080702,30.126106,29.908339,29.759443,29.139862,28.553703,28.047968,28.086287,28.120686,27.29828,26.72038,27.295341,27.295008,28.816305,29.884596,31.187643,31.701899,31.149002,30.181076,Text only tokens
6,27.51367,32.041393,30.932325,31.531448,33.02441,32.99776,32.774662,33.340282,32.185272,31.991867,30.728432,29.928991,29.744703,29.613365,28.89726,28.29561,27.826513,27.811357,27.80619,26.967382,26.362541,26.721342,27.001753,28.726664,30.007141,31.310932,31.84993,31.266712,30.341114,Text only tokens
7,28.451775,33.403694,32.34171,33.04221,34.52505,34.478138,34.35389,34.78818,33.29622,33.032417,31.534224,30.632732,30.4366,30.44707,29.69128,29.138372,28.670832,28.72157,28.73206,27.788815,27.220097,27.717209,27.87286,29.406725,30.645933,32.1109,32.815742,32.379246,31.143715,Text only tokens
8,28.581205,34.94046,33.28666,34.461353,35.909416,35.699905,35.64294,36.26685,34.152916,33.58662,32.400593,31.168747,30.76743,30.32086,29.82309,29.381554,28.8962,28.761662,28.831774,28.094196,27.4307,28.141865,28.59967,30.226017,31.452831,32.617508,33.43119,32.95229,31.224787,Text only tokens
9,27.561954,32.347637,31.114786,31.734135,33.17056,32.99539,32.7839,33.38734,32.211037,31.83504,30.549374,29.614616,29.5314,29.513115,28.825912,28.222118,27.739777,27.786034,27.78871,26.984312,26.390802,27.041853,27.306953,28.89911,30.058796,31.391344,31.979319,31.633478,30.690813,Text only tokens
