,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,contains,Mean over
5,51.460144,42.35548,16.940077,42.611626,68.25004,98.09553,119.691414,137.3214,147.20891,152.32288,156.3924,157.9856,165.52533,165.24829,164.46187,174.71815,174.55826,173.52348,178.82822,178.26341,176.965,176.45624,180.26166,174.95218,177.22484,173.58406,180.36679,174.88312,178.14005,171.64053,163.67476,141.99117,68.83273,both img and text,Text tokens
6,51.189163,42.05804,16.508211,41.606186,67.11192,96.621124,117.96473,135.89264,146.35725,151.94122,156.33371,158.38733,165.92566,165.501,165.01096,175.34863,175.52539,174.42664,179.53789,179.22841,178.5536,178.00308,181.95792,176.39558,179.36342,175.7174,182.6354,176.59544,180.17201,174.40202,166.31554,145.97379,73.167435,both img and text,Text tokens
7,51.282314,42.108833,15.216051,39.216614,64.75963,94.921524,116.91603,134.9995,145.13391,150.0969,154.51274,156.63599,164.06148,163.94714,163.0414,172.66724,172.06616,170.13982,174.41899,173.58223,172.35316,172.21532,175.45828,169.90129,172.50856,169.1033,175.68274,170.70744,174.10771,167.7815,160.17741,139.06929,68.379875,both img and text,Text tokens
8,51.62242,42.332462,16.405321,41.684513,68.0335,98.79637,121.13522,139.23257,148.7687,153.69957,157.70912,159.54503,167.44525,167.51155,166.32204,176.45026,176.60463,175.33452,180.5037,179.92519,178.58102,178.1064,181.918,176.32602,179.1815,175.35188,182.63748,177.21985,180.65317,174.7149,167.55531,147.57115,73.0177,both img and text,Text tokens
9,51.68485,42.29075,16.61754,42.252098,68.372284,97.98772,119.199936,137.26208,147.32745,152.90826,157.0149,158.96243,166.03622,165.27303,163.74854,173.93105,173.16705,172.5989,177.73744,176.84192,175.77893,175.3406,178.9485,173.32932,175.73401,172.02713,178.8497,173.33238,176.95142,170.98393,164.61014,144.3337,71.246704,both img and text,Text tokens
0,51.77366,35.863613,1.9961283,2.050856,2.1894968,2.1781106,2.256488,2.3903904,2.4817984,2.648231,2.8477454,3.124905,3.4302216,3.7694473,4.194125,5.0407553,6.3423324,7.2156243,8.465156,10.140554,11.172016,12.245083,13.115435,14.144979,14.964806,15.484807,16.267939,16.844372,17.903694,18.82253,19.47022,20.685156,18.399567,only text,Text only tokens
1,51.27458,35.578094,1.982846,2.046038,2.1771555,2.1580787,2.2326124,2.3587034,2.4461932,2.6041145,2.7966442,3.062783,3.357654,3.6853583,4.093675,4.9039407,6.14038,6.96742,8.147519,9.772108,10.777509,11.824375,12.668472,13.664085,14.458245,14.968977,15.725591,16.283506,17.315268,18.188023,18.783129,20.0058,18.054367,only text,Text only tokens
2,51.477024,35.59199,1.9615709,2.0217564,2.1575336,2.147569,2.2283258,2.3636932,2.4583087,2.6282573,2.8308818,3.1111186,3.4230673,3.7682061,4.1991215,5.0562677,6.352397,7.226188,8.476853,10.174347,11.222708,12.314524,13.199317,14.234197,15.0679865,15.580648,16.366758,16.932173,17.983837,18.861834,19.45853,20.64184,18.288565,only text,Text only tokens
3,51.226017,35.583813,2.0272772,2.143122,2.2880514,2.241069,2.3212614,2.4565434,2.5524957,2.7300303,2.951073,3.2545388,3.5974014,3.9810555,4.470278,5.443608,6.9154997,7.8902392,9.276088,11.126712,12.2276945,13.398213,14.337236,15.4306345,16.3039,16.804676,17.628357,18.194345,19.29531,20.195694,20.793556,21.90918,19.110197,only text,Text only tokens
4,52.04445,35.95221,2.031818,2.1505077,2.2928052,2.245345,2.3255663,2.4637363,2.5609019,2.7421517,2.9652247,3.270558,3.6180472,3.997565,4.475391,5.432557,6.867511,7.8040857,9.161438,10.97204,12.044268,13.187066,14.108388,15.154647,16.014128,16.486887,17.3014,17.825867,18.896687,19.781769,20.340937,21.436344,18.742443,only text,Text only tokens
