,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,contains,Mean over
0,37.689335,74.93513,67.68714,75.62923,90.15391,95.19707,98.29424,81.96677,89.38628,89.97833,83.546005,78.77789,88.80243,88.987495,90.47271,95.51536,97.46944,100.06984,98.3778,86.88752,81.00549,87.996315,91.28788,102.21277,104.20403,106.90329,107.2421,92.398796,51.482944,only text,Text only tokens
1,37.573036,73.70465,66.485085,74.12329,88.46419,94.00122,96.61334,80.85792,88.65421,88.95741,82.768936,78.35572,87.731735,87.77743,89.43854,94.2491,96.32436,98.771835,96.55236,85.81794,79.566315,85.872505,89.01341,98.78413,99.17459,101.57313,101.67009,87.426506,51.56498,only text,Text only tokens
2,37.452156,74.4989,67.38456,75.25963,89.254196,94.84968,97.38985,81.093994,88.582344,89.14238,83.476036,78.77031,88.31595,88.39702,89.76865,94.787415,96.89069,99.27102,97.083176,86.20971,80.61146,87.66545,90.76581,101.51736,103.16042,105.61229,106.17049,91.75081,51.89298,only text,Text only tokens
3,37.29814,73.81573,66.56616,74.08121,88.74985,94.14642,96.78732,80.363754,87.941154,88.4108,82.84061,78.6935,88.45129,88.51689,90.76572,96.01745,98.36899,100.94675,99.208176,88.569626,83.23227,90.267166,93.72068,103.82442,104.95914,107.933495,108.020256,92.616035,52.990685,only text,Text only tokens
4,37.843185,73.96568,66.70321,73.99024,89.02374,94.71214,96.78164,80.91987,88.39103,88.97358,82.57014,77.82303,87.56511,87.603905,89.56269,94.75068,97.00975,99.29313,97.54066,86.52563,80.766396,87.52382,90.61769,101.15494,101.97068,104.44401,105.36481,91.020905,51.377525,only text,Text only tokens
5,37.57684,73.75114,66.513466,73.963745,88.81615,94.67381,96.792015,80.65979,88.279495,88.5711,82.925575,78.55725,88.391914,88.50706,90.398834,95.49304,97.35131,99.47017,97.4849,86.55662,80.840225,87.9173,91.03389,101.22727,102.30214,104.82584,105.16053,90.49955,51.932755,only text,Text only tokens
6,37.314587,73.007774,65.69553,73.13691,88.33744,93.74244,96.44344,80.38438,87.56995,88.20632,82.516174,78.19575,87.79467,87.7458,89.50886,94.913155,97.35637,99.72168,97.79526,86.888016,81.354034,88.14203,91.01006,101.122246,102.63106,104.9169,105.27793,90.91737,50.921463,only text,Text only tokens
7,37.54572,73.881996,66.680916,73.822876,88.67188,94.476105,97.10925,80.64695,88.04756,88.32745,82.61812,78.47699,87.711075,87.71333,89.4623,95.088234,97.37062,99.530426,97.19598,86.20182,81.269196,88.14725,91.091415,101.1463,101.696754,103.97582,103.825455,89.58195,51.154766,only text,Text only tokens
8,37.55398,74.624794,67.19998,75.05696,89.57986,95.15926,97.979355,82.35395,90.229,90.82123,84.83277,80.29703,90.12442,90.186066,91.558464,96.76843,98.995094,101.395485,99.55572,88.63477,82.99991,89.9704,92.91205,103.287224,104.43848,106.86633,106.57012,91.970345,51.52362,only text,Text only tokens
9,37.580467,74.71199,67.70325,75.29846,89.72436,95.07549,97.729904,81.4823,88.46474,88.95898,82.82634,78.247894,87.97085,88.31107,90.085236,95.16638,97.056564,99.24097,97.25318,85.908714,80.25787,87.06876,90.308105,101.20444,102.696724,105.18705,105.94676,91.59597,52.104164,only text,Text only tokens
