,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,contains,Mean over
9,25.979538,26.477161,33.319225,30.875223,34.953472,27.90913,30.79629,25.664907,13.681676,8.105249,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,106.55544,both img and text,Text tokens
0,25.942505,26.698042,33.462074,31.29506,35.536377,28.52366,30.351381,24.935722,13.177528,7.8060718,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.63947,only text,Text only tokens
1,26.080074,26.445517,33.018795,30.913683,35.03546,28.136131,29.91012,24.809055,12.997759,7.6487217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,104.39576,only text,Text only tokens
2,25.929234,26.66982,33.47295,31.158155,35.31517,28.019169,29.714016,24.634378,13.01418,7.7881713,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,109.21354,only text,Text only tokens
3,25.82768,26.375166,33.13378,31.032196,35.013943,27.9759,29.68535,24.59914,12.999959,7.6285467,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,115.525444,only text,Text only tokens
4,26.00572,26.543877,33.153347,30.98613,35.164066,28.300098,30.041365,24.477646,13.083009,7.7773514,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,117.03389,only text,Text only tokens
5,25.938343,26.451336,33.223682,31.01048,35.089314,28.016605,30.160059,24.911055,13.239524,7.765941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,106.62486,only text,Text only tokens
6,25.795258,26.182262,32.837166,30.839956,34.83944,28.193188,29.81538,24.656044,12.910699,7.6906714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,112.49985,only text,Text only tokens
7,25.972485,26.546162,33.296375,31.054153,35.1432,28.294193,30.076862,24.994328,13.12129,7.800869,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,105.31066,only text,Text only tokens
8,25.98155,26.663591,33.53642,31.277792,35.41143,28.253384,30.312172,24.809282,13.000309,7.857594,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.791306,only text,Text only tokens
9,25.887312,26.554365,33.347565,31.222963,35.314995,28.079174,30.125496,24.776209,13.100675,7.599389,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,110.51672,only text,Text only tokens
