,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,contains,Mean over
5,24.902357,59.246826,63.653137,66.4008,66.77108,86.903435,87.94413,89.09342,80.16944,84.11117,91.260376,94.488495,84.45029,76.97125,72.41991,65.64743,68.62424,77.50621,81.945244,84.23949,98.05363,95.65145,98.22729,99.73733,98.438614,93.30336,90.459854,92.82897,91.32445,86.83877,87.726585,80.64679,95.84338,98.14872,79.40413,73.382835,34.72643,both img and text,Text tokens
6,24.605383,58.537014,62.88399,65.61023,65.95398,85.81405,86.58448,88.05944,79.106255,83.25295,89.84064,93.2559,83.11424,76.04708,71.41034,65.10504,68.16034,76.86712,81.50687,83.76388,98.37709,97.156075,99.470406,100.68374,99.48131,94.26938,91.66173,93.13917,91.9031,86.740685,87.87814,80.80026,97.25508,100.42036,82.36487,76.991806,36.901047,both img and text,Text tokens
7,24.597307,59.12302,63.55693,66.34175,66.6951,86.80565,87.890465,88.92738,79.95066,84.08811,91.009796,94.19825,84.24178,76.684616,72.05482,65.45882,68.33519,77.042786,81.5944,83.52903,98.19029,96.55614,99.039764,100.279625,98.605064,93.29821,90.09838,91.52974,90.22758,85.17239,86.361206,79.31886,94.799034,97.19792,78.19366,72.72249,33.670204,both img and text,Text tokens
8,24.808855,59.744946,64.189186,67.013374,67.52116,87.89424,88.8752,89.87916,81.08278,85.157,92.665565,95.83127,85.582924,77.50276,73.04027,66.14565,69.27634,78.42685,82.912796,85.15636,98.98872,96.493904,99.11423,100.49883,99.43252,94.10567,91.46644,93.386116,91.29418,86.54465,87.1247,79.83659,96.34609,99.68445,81.31796,76.764336,35.557438,both img and text,Text tokens
9,24.963364,59.806705,64.3224,67.370514,67.685814,87.76086,88.794,89.91259,81.060326,84.94012,91.94109,95.30067,84.98392,77.19532,72.61019,65.81069,68.5214,77.18748,81.67236,83.84476,98.105965,96.01854,98.25465,99.721825,98.232864,92.81486,90.02679,92.03202,90.737236,86.0047,87.09563,79.694496,95.85651,98.69373,80.65556,75.65534,35.97072,both img and text,Text tokens
0,24.977232,60.009876,64.42576,67.304016,68.26533,89.03635,89.783844,89.98795,80.56957,85.24248,92.28439,95.30602,84.86724,77.329124,72.93095,65.3732,68.38011,76.37291,80.649376,81.97756,95.18428,91.577156,94.98165,95.77879,93.11532,87.23303,84.94364,86.01422,86.87351,83.43529,84.26642,77.68603,94.18733,98.514175,82.46795,82.12768,40.15159,only text,Text only tokens
1,24.82875,59.129562,63.38424,65.89602,66.69052,86.77726,87.42133,88.37493,79.00228,82.87738,89.620155,92.5489,83.02635,75.62289,71.011795,63.853165,66.68546,74.44617,78.229614,79.55743,92.602745,88.945496,92.25735,93.09227,90.74594,85.06102,82.99008,83.95974,84.737236,80.72897,82.43906,76.95796,90.93102,93.141685,74.45753,71.9325,34.351532,only text,Text only tokens
2,24.718506,59.70114,64.29061,67.114006,68.051254,88.458405,89.04934,89.56171,80.19609,84.69333,91.74228,94.396706,84.380516,76.78568,72.2744,64.7709,67.67275,75.462875,79.315125,80.924225,93.652916,89.942345,93.40237,94.65534,92.001785,86.076416,84.124245,84.99473,85.55698,81.64799,82.88809,76.83322,92.65726,96.58635,79.044075,77.84448,37.390926,only text,Text only tokens
3,24.80198,59.21378,63.531387,66.19712,66.81685,87.33271,88.22938,88.744225,79.22398,83.26363,90.26802,93.42723,83.24001,75.97174,71.30469,64.533676,67.527565,75.441475,79.38221,80.91627,95.29971,92.667725,96.62145,97.01441,94.69435,88.380745,85.62546,86.22434,87.09663,83.39834,85.19372,79.13176,91.83988,93.80715,73.90314,71.28034,34.838234,only text,Text only tokens
4,25.1009,59.659878,64.05829,66.715294,67.47362,87.807785,88.579544,89.07758,79.62734,83.69625,90.54547,93.64608,83.73632,76.42999,71.60586,64.214714,67.32003,74.91558,78.95442,80.59278,92.56761,88.653755,91.94539,93.35971,91.20477,85.733765,83.96971,84.61724,84.84851,80.89089,81.66061,75.424706,91.879166,96.61527,81.06361,81.00692,39.0624,only text,Text only tokens
5,24.902357,59.221752,63.63041,66.25751,66.986824,87.421875,88.14098,88.95945,79.56835,83.727066,90.56396,93.74334,83.68316,76.342766,71.67609,64.4772,67.44978,75.34792,79.34542,80.961586,93.69075,90.20068,93.71259,94.83511,92.386986,86.434,84.217804,85.39353,85.81074,82.22812,83.61686,77.99607,91.55126,94.621544,76.389885,74.477234,35.652195,only text,Text only tokens
6,24.605383,58.534275,62.886868,65.495636,66.23934,86.461205,86.931366,88.08985,78.63019,82.95076,89.29293,92.72823,82.559555,75.60544,70.85002,64.12742,67.203804,74.98231,79.1538,80.81059,94.14216,91.5081,94.87288,95.77669,93.2134,87.02373,84.89149,85.85252,86.85268,82.62697,84.235756,78.21521,93.09001,96.426384,78.10627,76.21717,37.141487,only text,Text only tokens
7,24.597307,59.16287,63.61108,66.25748,66.98021,87.40399,88.17053,88.91898,79.4331,83.78274,90.46003,93.600945,83.6317,76.19903,71.45322,64.41626,67.28554,75.02934,79.18411,80.60035,94.38883,91.405304,94.86225,95.77445,92.92495,86.88433,84.3812,84.68481,85.81892,81.922104,83.76228,77.88681,92.21894,95.33485,76.796745,74.603806,35.062626,only text,Text only tokens
8,24.808855,59.758595,64.2107,66.91286,67.8065,88.57465,89.286804,90.00829,80.77179,85.02923,92.17397,95.29617,85.009895,77.06607,72.50193,65.17704,68.28714,76.38803,80.56462,82.00305,94.872025,90.975395,94.45161,95.39815,92.96692,87.042816,84.95591,85.68378,86.235565,82.55456,83.7521,78.01656,93.13384,96.99813,79.10697,77.66206,36.593243,only text,Text only tokens
9,24.963364,59.81199,64.34357,67.26975,67.890755,88.299194,89.0037,89.80735,80.52279,84.64262,91.34801,94.72682,84.48721,76.78407,72.10025,64.7,67.39828,74.98813,79.011475,80.38879,93.44535,90.18047,93.65702,94.40234,91.83617,85.79237,83.62819,84.31026,85.32406,81.62016,83.188385,77.26808,91.83099,94.81744,76.59479,75.1029,36.508064,only text,Text only tokens
