,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,contains,Mean over
1,30.879774,55.5907,72.67794,74.14089,70.20654,67.565025,81.55928,111.09771,127.03721,123.151825,110.83738,99.09948,105.181335,111.072975,113.10184,114.78679,121.19924,118.63766,116.47111,114.93383,118.26144,128.56516,121.44585,122.34119,119.475815,122.58463,109.94453,111.51616,112.626686,121.634384,128.01228,132.81752,138.34894,124.7933,104.13613,88.07915,11.934567,both img and text,Text tokens
2,30.696857,56.799355,74.42576,76.08619,71.825775,68.99859,82.72822,112.15561,127.943985,123.92067,111.46044,99.630516,105.83462,111.64938,113.26763,114.647285,121.0071,117.82818,116.1933,114.88244,118.77747,129.51,123.75803,125.23412,122.526596,126.25853,114.17179,117.10836,118.42876,126.66533,133.20218,137.66922,143.38916,129.48041,108.99004,90.70423,10.954723,both img and text,Text tokens
3,30.761091,56.05032,73.44844,74.85441,71.06315,68.44607,82.38958,112.29731,127.87067,124.32829,112.10539,100.00287,106.92869,112.76538,114.22005,115.54973,121.62986,119.237175,116.80046,114.536644,118.7457,129.19481,121.05375,122.74631,120.810455,123.6797,110.66607,112.58818,114.254456,123.15211,129.96935,134.4903,140.58942,127.05472,106.44676,90.185844,11.593577,both img and text,Text tokens
4,31.21156,56.249367,73.52644,74.9774,71.16976,68.595085,82.74703,112.326454,128.15714,124.430664,112.083534,99.96854,106.58898,112.4667,114.43767,115.72155,122.131645,119.53873,117.19389,115.04938,118.872765,129.3515,121.443474,123.48222,120.44394,123.36565,110.662895,113.50823,114.660355,123.59297,130.84508,136.3812,142.58876,128.94131,109.01021,92.77052,13.48965,both img and text,Text tokens
5,30.916792,55.938313,73.24374,74.49691,70.322266,67.87061,81.72893,111.91557,128.05214,124.36268,112.08508,99.871864,106.30611,112.522606,114.531784,116.4596,122.53074,119.750786,117.19082,115.30651,118.19401,128.29489,121.666115,122.72131,120.213806,122.97331,110.200035,112.403755,113.47609,122.65473,129.80032,134.94595,140.72946,127.156906,105.98869,88.749084,11.702147,both img and text,Text tokens
6,30.62164,55.106056,72.195,73.81896,69.96339,67.6683,81.32971,110.923615,126.63351,122.88327,110.90769,99.13709,105.74134,111.64597,113.80751,115.07186,121.83569,115.89788,114.592255,113.975266,118.53773,129.44672,122.863304,123.553024,121.25501,124.27264,111.556046,114.13472,115.127625,123.1635,130.15776,134.59436,139.73448,126.78493,106.226494,88.28766,10.797949,both img and text,Text tokens
7,30.656616,55.673275,73.151665,74.53845,70.415115,67.74769,81.75676,111.961044,127.452286,123.62091,111.43606,99.25653,105.89287,111.81871,113.43238,115.26105,121.75845,119.22728,116.715065,114.78935,118.05382,127.89098,122.058395,122.92559,120.2482,123.412056,110.95689,113.28033,114.725494,123.87931,131.04419,135.83292,141.24475,126.592575,104.24165,86.51503,11.603182,both img and text,Text tokens
8,30.825554,56.409878,74.00541,75.50496,71.22989,68.616486,82.83768,113.30399,129.75818,125.879524,113.05633,101.134636,108.05147,114.05307,115.863335,117.24308,123.41365,120.3328,117.9342,115.991974,119.36705,129.90509,122.83771,124.41985,121.944954,125.06435,112.3311,114.78716,115.88538,124.98446,132.16495,136.86075,143.0031,128.66899,107.52664,90.43665,11.664342,both img and text,Text tokens
9,30.994413,56.587414,74.30604,75.92758,71.79992,69.05325,83.08381,112.86866,128.26057,124.473915,111.85556,99.76901,106.10455,112.24688,113.91887,115.167496,121.66066,116.80588,115.467606,113.78477,117.57512,128.17114,120.55381,122.354774,119.08059,121.87195,109.64057,111.97675,113.01952,121.37314,128.2448,133.30907,138.94142,126.18505,105.820885,87.94732,12.369161,both img and text,Text tokens
0,31.02235,57.019356,74.90597,77.04018,73.05308,70.20001,84.31955,114.48363,130.44928,127.11629,115.91164,104.058304,110.180756,116.75074,118.73585,119.99754,127.409386,120.90324,118.968666,116.49438,117.96417,127.492165,120.872856,123.71308,121.429695,123.63737,114.90107,116.90494,117.87731,124.43351,129.48956,132.30139,136.38823,124.86723,107.75644,91.6706,14.063759,only text,Text only tokens
1,30.879774,55.81439,73.31743,75.29836,71.629074,68.71716,82.70298,112.380066,128.9391,125.483864,114.01593,102.51011,108.4302,114.70361,117.01263,118.84698,126.30497,122.36855,119.6222,117.28054,118.01003,126.92701,121.50604,123.31976,120.636314,122.61578,113.60316,114.77556,115.47427,122.52321,127.073135,129.67258,133.20403,121.01883,103.311455,86.55063,14.053757,only text,Text only tokens
2,30.696857,56.96552,75.05643,77.31972,73.3502,70.25252,84.045425,113.68976,130.24245,126.884766,115.242744,103.55678,109.45508,115.518654,117.58819,118.933205,126.80095,119.94223,118.18059,116.203445,117.51005,127.04157,122.63836,124.97128,122.923546,125.577774,117.471725,119.648094,120.80872,127.21221,131.54747,133.52486,137.22426,124.745056,107.11464,89.715416,13.267029,only text,Text only tokens
3,30.761091,56.212227,74.070435,76.02924,72.51535,69.65192,83.73345,113.90817,130.26927,127.57213,116.091576,104.34222,110.79278,116.99918,119.108406,120.5461,127.69349,122.16338,120.03011,118.02556,119.04964,128.44775,123.18977,125.42045,123.20139,124.93554,116.309555,118.103806,119.1642,126.081604,130.91046,132.4683,136.57657,124.10493,106.37735,89.37468,12.477949,only text,Text only tokens
