,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,contains,Mean over
8,39.36929,74.36782,68.01242,76.36137,92.24098,98.41529,99.36744,83.132355,90.8355,91.85104,85.36313,81.623505,91.6665,91.28565,94.32761,97.97025,101.40221,104.63233,104.26203,93.74232,88.2861,96.29305,99.32812,109.725296,110.4476,112.58286,109.80422,94.0796,50.802174,both img and text,Text tokens
9,39.52657,74.48767,68.543495,76.56507,92.306,98.181206,98.908806,82.32455,89.3244,90.291916,83.71624,79.89882,89.73419,89.47664,92.689514,96.297554,99.611374,103.07182,102.42969,90.68356,85.42213,93.14614,97.03144,108.525276,109.24969,111.09268,109.433,93.943504,50.83918,both img and text,Text tokens
0,39.63547,74.61323,68.10501,76.5011,92.73921,98.380806,100.00849,84.18669,91.58754,92.62284,85.85621,81.156075,90.94642,90.86965,92.87865,97.656494,100.16169,102.85471,101.47383,89.44221,83.856834,91.37184,94.87364,105.33267,107.174774,109.21817,109.41181,94.11662,50.22723,only text,Text only tokens
1,39.280003,73.26183,66.828316,74.880585,90.81217,96.95319,98.23258,82.8385,90.552505,91.32153,84.80228,80.41819,89.446815,89.255806,91.41219,95.917175,98.49322,101.27227,99.63171,88.32055,82.49092,89.21548,92.532074,101.86522,102.16424,103.759575,103.38306,88.577225,49.62468,only text,Text only tokens
2,39.2899,74.196,67.705475,76.1199,92.00008,98.180084,99.346825,83.37976,90.61423,91.57423,85.62399,80.98305,90.335236,90.21144,92.63745,97.12102,99.50471,102.01284,100.17158,88.595894,83.41515,90.99357,94.506424,104.6813,106.40439,108.36715,108.65426,93.559135,50.316032,only text,Text only tokens
3,39.218094,73.63668,67.16331,75.17233,91.48379,97.448524,98.69773,82.61878,90.25619,91.2277,85.20854,80.987724,90.34554,90.11432,92.9475,97.84751,100.70837,103.28889,101.947395,90.809875,85.82854,93.11301,96.85167,106.46722,107.940544,110.190254,110.162735,94.37133,51.928474,only text,Text only tokens
4,39.81605,73.8657,67.26077,75.19198,91.93987,98.128654,98.88503,83.365814,90.73992,91.78726,84.92857,80.31775,89.67354,89.48778,92.05467,96.84973,99.569305,102.088745,100.88866,89.2528,83.52361,90.628975,93.7987,103.84159,104.57956,106.51876,107.380264,92.92405,50.33439,only text,Text only tokens
5,39.40934,73.48606,66.89805,74.83682,91.36561,97.75326,98.56252,82.82101,90.5068,91.33378,85.29477,81.03532,90.60563,90.33519,92.68187,97.46474,99.807785,102.25786,100.7906,89.3904,83.8149,91.44497,94.815216,104.56983,105.64413,108.10898,108.21704,92.83623,50.768635,only text,Text only tokens
6,38.990692,72.628395,66.00262,73.9097,90.684044,96.653885,98.061066,82.463,89.7621,90.94238,84.72572,80.45264,89.76817,89.50101,91.8872,97.00091,99.96272,102.42339,100.842674,89.49798,84.32635,91.47698,94.6191,104.29649,105.48255,107.48774,107.775085,92.972725,50.1097,only text,Text only tokens
7,39.100903,73.26455,66.9015,74.47762,90.941864,97.30379,98.60092,82.61618,89.97949,90.786064,84.57742,80.35441,89.285904,89.19153,91.924484,97.040695,99.80783,102.06943,100.200676,88.51339,83.7489,90.97956,94.31757,103.92803,104.36171,106.09564,105.596634,90.744156,49.660046,only text,Text only tokens
8,39.36929,74.29608,67.615425,76.02446,92.308205,98.45233,99.858055,84.493866,92.29337,93.431274,87.14298,82.59286,92.12699,91.91317,94.10086,98.835625,101.28874,103.593864,102.042465,90.50313,85.19498,92.84841,95.98938,105.63465,107.02953,108.97129,108.43604,93.3764,50.002792,only text,Text only tokens
9,39.52657,74.39258,68.11585,76.188354,92.37641,98.24612,99.477234,83.66401,90.657715,91.745285,85.18559,80.61357,90.00053,89.92541,92.29478,96.96197,99.36578,101.57565,99.9817,88.29292,82.95409,90.02953,93.43017,103.66478,105.07587,107.045105,107.78311,93.04909,50.438446,only text,Text only tokens
