,accuracy,auroc,auprc,f1,precision,recall,embedding_level,layer,k
1,0.5,0.5,0.5,0.0,0.0,0.0,token_text,7,1
2,0.78,0.8576,0.8764111750662942,0.7555555555555555,0.85,0.68,token_text,14,1
3,0.86,0.9616,0.9614894684800677,0.851063829787234,0.9090909090909091,0.8,token_text,21,1
4,0.7,0.7776,0.7750796272349554,0.7058823529411765,0.6923076923076923,0.72,token_text,28,1
0,0.88,0.9712,0.9774167706167707,0.875,0.9130434782608695,0.84,sentence_all,0,2
1,0.96,0.9808000000000001,0.9861777777777778,0.9583333333333334,1.0,0.92,sentence_all,7,2
2,0.94,0.9856,0.986850613154961,0.9387755102040817,0.9583333333333334,0.92,sentence_all,14,2
3,0.96,0.9984,0.9984615384615385,0.9583333333333334,1.0,0.92,sentence_all,21,2
4,0.94,1.0,1.0,0.9361702127659575,1.0,0.88,sentence_all,28,2
0,0.92,0.9696,0.9767055330634278,0.9130434782608695,1.0,0.84,sentence_img,0,2
1,0.96,0.9792000000000001,0.9854270270270271,0.9583333333333334,1.0,0.92,sentence_img,7,2
2,0.94,0.9856,0.986850613154961,0.9387755102040817,0.9583333333333334,0.92,sentence_img,14,2
3,0.96,0.9967999999999999,0.9968615384615386,0.9583333333333334,1.0,0.92,sentence_img,21,2
4,0.94,0.9967999999999999,0.9968615384615386,0.9361702127659575,1.0,0.88,sentence_img,28,2
0,0.5,0.5,0.5,0.0,0.0,0.0,sentence_text,0,2
1,0.84,0.8912,0.9003193581665573,0.8260869565217391,0.9047619047619048,0.76,sentence_text,7,2
2,0.96,0.9904000000000001,0.9917333333333334,0.9583333333333334,1.0,0.92,sentence_text,14,2
3,0.96,0.9952000000000001,0.9954370370370371,0.9583333333333334,1.0,0.92,sentence_text,21,2
4,0.96,0.9967999999999999,0.9968615384615386,0.9583333333333334,1.0,0.92,sentence_text,28,2
0,0.5,0.5104,0.56509568753646,0.5283018867924528,0.5,0.56,token_all,0,2
1,0.5,0.504,0.5626362490200956,0.5283018867924528,0.5,0.56,token_all,7,2
2,0.5,0.52,0.5709831535996975,0.5283018867924528,0.5,0.56,token_all,14,2
3,0.52,0.5359999999999999,0.5384410313000285,0.5555555555555556,0.5172413793103449,0.6,token_all,21,2
4,0.54,0.552,0.5599946537690899,0.5818181818181818,0.5333333333333333,0.64,token_all,28,2
0,0.5,0.5104,0.56509568753646,0.5283018867924528,0.5,0.56,token_img,0,2
1,0.5,0.504,0.5626362490200956,0.5283018867924528,0.5,0.56,token_img,7,2
2,0.5,0.5184,0.5688619414784855,0.5283018867924528,0.5,0.56,token_img,14,2
3,0.52,0.528,0.5336748204467823,0.5555555555555556,0.5172413793103449,0.6,token_img,21,2
4,0.5,0.5376,0.5402778226658411,0.5454545454545454,0.5,0.6,token_img,28,2
0,0.5,0.5,0.5,0.0,0.0,0.0,token_text,0,2
1,0.5,0.5,0.5,0.0,0.0,0.0,token_text,7,2
2,0.86,0.9136000000000001,0.9200045701881816,0.8444444444444444,0.95,0.76,token_text,14,2
3,0.9,0.9456000000000001,0.9578917748917749,0.8936170212765957,0.9545454545454546,0.84,token_text,21,2
4,0.74,0.816,0.7802988860655418,0.7346938775510204,0.75,0.72,token_text,28,2
